Job Title,Job Category,Date Posted,Company Name,Job Location,Job Expired Date,Minimal Salary,Maximal Salary,Employment Type,Job URL
Guru Privat Matematika,Education & Training,20-10-2023,Guru Gue,Jakarta Timur,2023-11-20,500000,5001000,PART_TIME,https://glints.com/id/en/opportunities/jobs/guru-privat-matematika/e60b46c8-994d-452e-b276-097d4702fd87
Admin Finance,Accounting & Finance,20-10-2023,Pt Creatorz Media Network ,Tangerang Selatan,2023-11-20,,,FULL_TIME,https://glints.com/id/en/opportunities/jobs/admin-finance/8c1423c4-99af-4449-9120-64babe6e65bb
Cleaning Service,Housekeeping,20-10-2023,Whiz Kids Child Development Center,Surabaya,2023-11-20,1700000,2000000,FULL_TIME,https://glints.com/id/en/opportunities/jobs/cleaning-service/7358d4eb-7a55-4b6a-a31f-a55af029f606
Marketing Team,Marketing,20-10-2023,PT VPlus Platinum 8 Indonesia,Jakarta Selatan,2023-11-20,4000000,8000100,FULL_TIME,https://glints.com/id/en/opportunities/jobs/marketing-team/df934256-0359-449c-8b21-3c18de4cf054
Visual Designer,Design,20-10-2023,Parastar Distrindo,Jakarta Pusat,2023-11-20,5000000,5200000,CONTRACTOR,https://glints.com/id/en/opportunities/jobs/visual-designer/ffc74c4e-efe0-4f8a-9467-2fb6a5545c71
Sales & Marketing,Retail,20-10-2023,ALMUCHTAR TOUR & TRAVEL,Medan,2023-11-20,,,FULL_TIME,https://glints.com/id/en/opportunities/jobs/sales-and-marketing/a53132e6-a979-4f66-8305-ec343a85d1d5
Grafis Desainer,Design,20-10-2023,ALMUCHTAR TOUR & TRAVEL,Medan,2023-11-20,,,FULL_TIME,https://glints.com/id/en/opportunities/jobs/grafis-desainer/d24b670b-7850-447e-a60f-c63e29db4bd8
Tutor Privat SMP - Freelance,Education & Training,20-10-2023,LuarKelas,Surabaya,2023-11-20,100000,100100,PART_TIME,https://glints.com/id/en/opportunities/jobs/tutor-privat-smp-freelance/33822739-b70c-4dd1-8bda-e94e1127ab4f
Tutor Privat SD - Freelance,Education & Training,20-10-2023,LuarKelas,Surabaya,2023-11-20,100000,100100,PART_TIME,https://glints.com/id/en/opportunities/jobs/tutor-privat-sd-freelance/f64c7899-5276-4ca2-a5db-7e1ce665581f
Tutor Privat Preschool/ TK Freelance (Offline),Education & Training,20-10-2023,LuarKelas,Surabaya,2023-11-20,,,PART_TIME,https://glints.com/id/en/opportunities/jobs/tutor-privat-preschool-tk-freelance-offline/3f71f8b5-2429-467b-a63e-bf064e7a1ec1
Content Creator,Digital Marketing,20-10-2023,LuarKelas,Surabaya,2023-11-20,,,INTERN,https://glints.com/id/en/opportunities/jobs/content-creator/2cac86bd-8535-40f6-8fee-688e651bec8c
Content Strategist,Digital Marketing,20-10-2023,ScaleUp,Jakarta Barat,2023-11-20,,,INTERN,https://glints.com/id/en/opportunities/jobs/content-strategist/7110754a-b839-490f-a8dd-decb39db397f
WordPress Developer,Computer & Information Technology,20-10-2023,ScaleUp,Jakarta Barat,2023-11-20,,,INTERN,https://glints.com/id/en/opportunities/jobs/wordpress-developer/28b61e16-83ca-4bf6-a67b-6272624fb306
Business Development and Outreach Staff,Business Development,20-10-2023,ScaleUp,Jakarta Barat,2023-11-20,,,INTERN,https://glints.com/id/en/opportunities/jobs/business-development-and-outreach-staff/0c422eee-a221-43cc-be1d-cc36e226c693
Brand Manager,General Management,20-10-2023,ScaleUp,Jakarta Barat,2023-11-20,,,INTERN,https://glints.com/id/en/opportunities/jobs/brand-manager/0e221bd9-589c-4afe-a9fa-9f2d5a0d2dbf
Product Specialist,Product Management,20-10-2023,Awor Coffee,Sleman,2023-11-20,,,FULL_TIME,https://glints.com/id/en/opportunities/jobs/product-specialist/f2b092e9-5bc1-41b7-96e5-3511eaec8702
Guru Pengajar IPA,Education & Training,20-10-2023,LBB Einstein Surabaya,Surabaya,2023-11-20,,,PART_TIME,https://glints.com/id/en/opportunities/jobs/guru-pengajar-ipa/0e879c9f-6486-4b8a-9443-110db1d83624
Marketing Property Freelance,Marketing,20-10-2023,The Consultant Property (PT Weida Indah Cemerlang),Tangerang,2023-11-20,,,PART_TIME,https://glints.com/id/en/opportunities/jobs/marketing-property-freelance/818bff27-ad04-4b30-a9c4-a2452801743c
Guru Pengajar Bahasa Indonesia SMA,Education & Training,20-10-2023,LBB Einstein Surabaya,Surabaya,2023-11-20,,,PART_TIME,https://glints.com/id/en/opportunities/jobs/guru-pengajar-bahasa-indonesia-sma/d988cf9c-44d6-4c00-a8fc-d01626676589
Guru Pengajar Matematika SD,Education & Training,20-10-2023,LBB Einstein Surabaya,Surabaya,2023-11-20,,,PART_TIME,https://glints.com/id/en/opportunities/jobs/guru-pengajar-matematika-sd/6d60fd8b-2186-4500-9587-501f08d5f5fe
Video Editor and Personal Branding Tiktokers Willie Salim,Journalist & Editor,20-10-2023,PT MARI KITA BORONG,Jakarta Barat,2023-11-20,4500000,4900000,FULL_TIME,https://glints.com/id/en/opportunities/jobs/video-editor-and-personal-branding-tiktokers-willie-salim/1fd500e1-3176-4e69-a747-674838b22e1e
Konsultan Kesehatan,Healthcare,20-10-2023,Yayasan Binaan Kanker Nusantara,Jakarta Timur,2023-11-20,4000000,6000000,FULL_TIME,https://glints.com/id/en/opportunities/jobs/konsultan-kesehatan/9170dfeb-250e-474b-be43-b410482901ab
Guru Pengajar Fisika,Education & Training,20-10-2023,LBB Einstein Surabaya,Surabaya,2023-11-20,,,PART_TIME,https://glints.com/id/en/opportunities/jobs/guru-pengajar-fisika/ebb9438d-28da-4af8-8215-2cafd0213744
Guru TPA (Test Potensi Akademik) Gresik,Education & Training,20-10-2023,LBB Einstein Surabaya,Gresik,2023-11-20,,,PART_TIME,https://glints.com/id/en/opportunities/jobs/guru-tpa-test-potensi-akademik-gresik/93f2b2f0-7b1b-4336-9ee4-b2b4ad49221d
Guru TPA (Test Potensi Akademik) Surabaya,Education & Training,20-10-2023,LBB Einstein Surabaya,Surabaya,2023-11-20,,,PART_TIME,https://glints.com/id/en/opportunities/jobs/guru-tpa-test-potensi-akademik-surabaya/26e1487b-2d33-4037-9293-cb38a977f427
Marketing Proyek,Marketing,17-10-2023,PT Sentral Karya Inovasi ,Bantul,2023-11-19,,,CONTRACTOR,https://glints.com/id/en/opportunities/jobs/marketing-proyek/ad87bfa5-b664-4f70-b628-65369e882666
Business Development,Business Development,21-10-2023,Faith Fade,Jakarta Barat,2023-11-21,4000000,6000000,FULL_TIME,https://glints.com/id/en/opportunities/jobs/business-development/c2c9d4cb-d442-4e31-aa1f-c63e48bfe06f
IT Bootcamp Cabang Malang,Computer & Information Technology,18-10-2023,Pt Enigma Camp,Malang,2023-11-18,,,FULL_TIME,https://glints.com/id/en/opportunities/jobs/it-bootcamp-cabang-malang/634f1501-6f03-4e1a-968a-d642b5845efa
Radiografer,Doctor & Diagnosis,20-10-2023,Rumah Sakit Fathma Medika,Gresik,2023-11-20,,,FULL_TIME,https://glints.com/id/en/opportunities/jobs/radiografer/bf76eaf7-0803-4b33-8e35-559c6344cf3c
Account Manager,Account Management,19-10-2023,Pt Wowrack Indonesia,Surabaya,2023-11-19,,,FULL_TIME,https://glints.com/id/en/opportunities/jobs/account-manager/feb5c9fc-9776-42c0-a69f-85122e32c787
Visual Designer,Design,20-10-2023,Parastar Distrindo,Jakarta Pusat,2023-11-20,5000000,5200000,CONTRACTOR,https://glints.com/id/en/opportunities/jobs/visual-designer/ffc74c4e-efe0-4f8a-9467-2fb6a5545c71
Sales Restaurant,"Hotel, Restaurant & Travel",20-10-2023,PT.Karya Terbaik Nusantara (JOWA Restaurant),Jakarta Selatan,2023-11-20,4800000,5500000,FULL_TIME,https://glints.com/id/en/opportunities/jobs/sales-restaurant/124d4729-827b-439b-948a-31b06658f7ff
Business Development and Outreach Staff,Business Development,20-10-2023,ScaleUp,Jakarta Barat,2023-11-20,,,INTERN,https://glints.com/id/en/opportunities/jobs/business-development-and-outreach-staff/0c422eee-a221-43cc-be1d-cc36e226c693
Konsultan Kesehatan,Healthcare,20-10-2023,Yayasan Binaan Kanker Nusantara,Jakarta Timur,2023-11-20,4000000,6000000,FULL_TIME,https://glints.com/id/en/opportunities/jobs/konsultan-kesehatan/9170dfeb-250e-474b-be43-b410482901ab
Content Creator,Digital Marketing,20-10-2023,PT Oriya Khazanah Sejahter,Jakarta Timur,2023-11-20,,,FULL_TIME,https://glints.com/id/en/opportunities/jobs/content-creator/325c82a6-2639-405f-b388-0b44e8266845
Asisten Direktur,Administrative & Human Resources,20-10-2023,PT Airia Semesta,Surabaya,2023-11-20,,,FULL_TIME,https://glints.com/id/en/opportunities/jobs/asisten-direktur/7ee85cdb-43f4-49d1-b79f-58df49819823
Account Executive MYR (BEKASI),Account Management,16-10-2023,PT. PERMATA INDO SEJAHTERA,Bekasi,2023-11-16,2700000,10000000,FULL_TIME,https://glints.com/id/en/opportunities/jobs/account-executive-myr-bekasi/c6e67292-6f8b-42f1-ac06-f7bb0f33b5c8
Officeless Operating System (OOS) Implementor,Computer & Information Technology,17-10-2023,Jojonomic Pte Ltd,Jakarta Selatan,2023-11-17,,,FULL_TIME,https://glints.com/id/en/opportunities/jobs/officeless-operating-system-oos-implementor/9768b81b-76e4-4e5b-919d-f037586a3554
Konsultan Penjualan,Business Development & Sales,19-10-2023,vOffice,Jakarta Selatan,2023-11-19,5000000,5500000,FULL_TIME,https://glints.com/id/en/opportunities/jobs/konsultan-penjualan/c3e19dde-8835-4693-b37c-f6a6f13e0605
